"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"506",367618240,"2019-01-01T00:00:04",18.2296,-65.62023,3.3,-198.5,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"532",377911000,"2019-01-01T00:00:05",17.92048,-65.70587,11.8,-155,246,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"763",367515760,"2019-01-01T00:00:04",18.44813,-66.08941,0,-158.1,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"845",338536000,"2019-01-01T00:00:04",18.33531,-65.63116,0,-141.3,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"942",367070680,"2019-01-01T00:00:00",18.45484,-66.11454,16.2,196.3,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"1032",367128950,"2019-01-01T00:00:03",18.44881,-66.10158,3.6,-95.4,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1812",338071607,"2019-01-01T00:00:02",18.46068,-66.09095,0.5,-122.1,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1992",368237000,"2019-01-01T00:00:00",18.26789,-65.38463,15.6,74.5,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"2007",366029970,"2019-01-01T00:00:02",18.46113,-66.09346,0,-101.6,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"2047",563545000,"2019-01-01T00:00:01",18.49937,-66.12994,8.7,0.4,1,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"2693",367307990,"2019-01-01T00:00:07",17.99398,-65.77581,6.1,-184.3,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"3419",366995010,"2019-01-01T00:00:08",18.44772,-66.09108,0.1,-136.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4466",671932000,"2019-01-01T00:00:20",18.46302,-66.10326,0.1,17.3,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"5127",367396910,"2019-01-01T00:00:36",17.93684,-66.15604,0,-129.5,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"5330",367015490,"2019-01-01T00:00:45",18.05357,-65.83673,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"5378",368025180,"2019-01-01T00:01:00",18.45993,-66.08805,0,78.9,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
